Iteration,Python Time (s),Rust Time (s),Task Size (n)
1,0.001601266000079704,0.004714048000096227,100
2,0.000852819999863641,0.0023416260000885813,100
3,0.000881703999993988,0.0022413479998704133,100
4,0.0008761019998928532,0.0020109980000597716,100
5,0.0009169530001145176,0.0017451179999170563,100
6,0.0013017950000175915,0.0014871359999233391,100
7,0.0008987820001493674,0.0013821029999689927,100
8,0.0008481100001063169,0.0011314470000343135,100
9,0.0008823570001368353,0.0011208020000594843,100
10,0.0015361920000032114,0.001235530000030849,100
11,0.0012865219998730026,0.0011827820001144573,100
12,0.0008300520000830147,0.0011590660001274955,100
13,0.0008410520001689292,0.0011329330000080517,100
14,0.0009107099999710044,0.0011298300000817108,100
15,0.0008782509999036847,0.0011500059999889345,100
16,0.0009011680001549394,0.0011128830001325696,100
17,0.0012521560001914622,0.0011302230000183044,100
18,0.001534038000045257,0.0011042609999094566,100
19,0.0011437260000093374,0.001190169000210517,100
20,0.000962396999966586,0.0011017760000413546,100
21,0.001068950999979279,0.0010631840000314696,100
22,0.001177494000103252,0.0010605980000946147,100
23,0.001254434000202309,0.0010760659999959898,100
24,0.0012282170000617043,0.001064652999957616,100
25,0.0014692520001062803,0.0010635329999786336,100
26,0.0014831420000973594,0.0010681270000532095,100
27,0.0015696240000124817,0.0010469660001035663,100
28,0.0018199149999418296,0.001066350999963106,100
29,0.001548649000142177,0.0011228119999486808,100
30,0.0014888420000715996,0.001124312000001737,100
31,0.0015520519998517557,0.0011030240000309277,100
32,0.001473397000154364,0.0010529200001201389,100
33,0.0017466000001604698,0.0010680220000267582,100
34,0.001840747999949599,0.0010798419998536701,100
35,0.001701959000001807,0.001058601999829989,100
36,0.0016367420000733546,0.0010652279997884762,100
37,0.0014658790000794397,0.0010780970001178503,100
38,0.0014250320000428474,0.0010571010000148817,100
39,0.0014550640000834392,0.0010533520000990393,100
40,0.0015303769998809003,0.0011335780000081286,100
41,0.0016351530000520142,0.001086198999928456,100
42,0.0015944899998885376,0.00109526400001414,100
43,0.0016937240000061138,0.0011212259998956142,100
44,0.0017007649998959096,0.0010656909998942865,100
45,0.0019407770000725577,0.0010455760000240844,100
46,0.002084647999936351,0.0010346650001338276,100
47,0.0020563179998589476,0.001066112999978941,100
48,0.0019277159999546711,0.001102989999935744,100
49,0.0019295259999125847,0.0010452649999024288,100
50,0.002072205000104077,0.0010561990000041988,100
51,0.002361595999900601,0.0024923860000853892,100
52,0.0024000060000162193,0.0010631940001530893,100
53,0.0024378709999837156,0.0010885729998335592,100
54,0.0025354489998790086,0.001073355000016818,100
55,0.002480310000009922,0.001116706999937378,100
56,0.0027128480001010757,0.0011141190000216739,100
57,0.0025319510000372247,0.0011996020000424323,100
58,0.0026199690000794362,0.0011436050001520925,100
59,0.0023116659999686817,0.0011016270000254735,100
60,0.002138991000038004,0.001097775000062029,100
61,0.0023357989998658013,0.0011444289998507884,100
62,0.002111153000214472,0.001095283999802632,100
63,0.0020599619999757124,0.0011082529999839608,100
64,0.001984371999924406,0.0017918700000336685,100
65,0.0020310990000780293,0.0010625879999679455,100
66,0.002244001000008211,0.0011421019999033888,100
67,0.0021974640001189982,0.001096278999966671,100
